,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
327,032500,KR7032500001,케이엠더블유,KOSDAQ,중견기업부,18280,1,70,0.38,18000,20000,17750,8114921,154111998730,727925741240,39820883,KSQ
328,192080,KR7192080000,더블유게임즈,KOSPI,,40000,2,-2850,-6.65,42800,42900,39900,68487,2798729800,727630280000,18190757,STK
329,181710,KR7181710005,NHN,KOSPI,,20700,2,-350,-1.66,20900,21050,20550,68858,1421545850,723189317400,34936682,STK
330,003540,KR7003540002,대신증권,KOSPI,,13990,1,30,0.21,13960,14090,13890,62055,866995940,710319866000,50773400,STK
331,222080,KR7222080004,씨아이에스,KOSDAQ,중견기업부,10090,2,-230,-2.23,10420,10430,10080,353381,3581424080,708899305080,70257612,KSQ
332,060280,KR7060280005,큐렉소,KOSDAQ,중견기업부,17250,2,-710,-3.95,17880,18090,17140,558311,9715900010,706490827500,40955990,KSQ
333,082640,KR7082640004,동양생명,KOSPI,,4360,2,-20,-0.46,4380,4380,4325,110493,480559955,703523430600,161358585,STK
334,005250,KR7005250006,녹십자홀딩스,KOSPI,,14760,2,-390,-2.57,15060,15270,14690,91018,1352378660,694136379600,47028210,STK
335,456040,KR7456040005,OCI,KOSPI,,92800,2,-5900,-5.98,97200,98700,92500,52975,5032128600,690128451200,7436729,STK
336,009450,KR7009450008,경동나비엔,KOSPI,,47350,2,-1000,-2.07,48350,48650,46550,47466,2250815100,689822831200,14568592,STK
337,348210,KR7348210006,넥스틴,KOSDAQ GLOBAL,우량기업부,67100,2,-100,-0.15,67600,68600,66200,70670,4740771800,689676077200,10278332,KSQ
